200 species,100 species,50 species
Neorhizobium petrolearium (taxid 515361),Brucella abortus (taxid 235),Mesorhizobium sp. Pch-S (taxid 2082387)
Alkaliphilus sp. B6464 (taxid 2731219),Laceyella sacchari (taxid 37482),Aminipila luticellarii (taxid 2507160)
Sphingomonas rhizophila (taxid 2071607),Sphingomonas sediminicola (taxid 386874),Sphingopyxis sp. YF1 (taxid 2482763)
Candidatus Puniceispirillum marinum IMCC1322 (taxid 488538),Ammonifex degensii KC4 (taxid 429009),Pseudomonas sp. C27(2019) (taxid 2604941)
Acinetobacter larvae (taxid 1789224),Acinetobacter baylyi (taxid 202950),Acinetobacter baumannii (taxid 470)
Burkholderia multivorans (taxid 87883),Burkholderia ubonensis subsp. mesacidophila (taxid 265293),Dickeya solani (taxid 1089444)
Aggregatibacter actinomycetemcomitans (taxid 714),Vibrio vulnificus MO6-24/O (taxid 914127),Dickeya solani (taxid 1089444)
Comamonas sp. B21-038 (taxid 2918299),Comamonas odontotermitis (taxid 379895),Comamonas odontotermitis (taxid 379895)
Candidatus Nanosynbacter lyticus (taxid 2093824),Candidatus Mycosynbacter amalyticus (taxid 2665156),Ethanoligenens harbinense (taxid 253239)
Tsuneonella sp. CC-YZS046 (taxid 3042152),Tsuneonella sp. CC-YZS046 (taxid 3042152),Mesorhizobium sp. Pch-S (taxid 2082387)
Ignavibacterium sp. (taxid 2651167),Paludicola sp. MB14-C6 (taxid 3070656),Clostridium baratii (taxid 1561)
Candidatus Desulfovibrio trichonymphae (taxid 1725232),Candidatus Desulfovibrio trichonymphae (taxid 1725232),Geotalea daltonii FRC-32 (taxid 316067)
Streptomyces sp. NBC_01477 (taxid 2976015),Jatrophihabitans telluris (taxid 2038343),Ornithinimicrobium avium (taxid 2283195)
Klebsiella electrica (taxid 1259973),Citrobacter gillenii (taxid 67828),Dickeya solani (taxid 1089444)
Escherichia coli O104:H4 str. 2009EL-2050 (taxid 1134782),Photobacterium damselae subsp. damselae (taxid 85581),Dickeya solani (taxid 1089444)
Asaia bogorensis NBRC 16594 (taxid 1231624),Roseomonas fluvialis (taxid 1750527),Mesorhizobium sp. Pch-S (taxid 2082387)
Bacillus sp. SI2 (taxid 3077323),Limosilactobacillus fermentum (taxid 1613),Weissella paramesenteroides (taxid 1249)
Massilia sp. Se16.2.3 (taxid 2709303),Burkholderia pyrrocinia (taxid 60550),Enterococcus faecalis (taxid 1351)
Streptomyces lunaelactis (taxid 1535768),Thermomonospora amylolytica (taxid 1411117),Nocardioides sp. Arc9.136 (taxid 2996826)
Cellulomonas sp. Y8 (taxid 2591145),Streptomyces albidoflavus (taxid 1886),Desulfuromonas soudanensis (taxid 1603606)
Brevibacillus humidisoli (taxid 2895522),Bacillus thuringiensis HD-789 (taxid 1217737),Bacillus velezensis (taxid 492670)
Staphylococcus haemolyticus (taxid 1283),Staphylococcus sp. IVB6181 (taxid 2929481),Weissella paramesenteroides (taxid 1249)
Bacillus atrophaeus subsp. globigii (taxid 1529886),Marinilactibacillus sp. 15R (taxid 1911586),Bacillus velezensis (taxid 492670)
Brevundimonas sp. SL130 (taxid 2995143),Phenylobacterium sp. NIBR 498073 (taxid 3015177),Mesorhizobium sp. Pch-S (taxid 2082387)
Bacteroides sp. MSB163 (taxid 3117552),Bacteroides finegoldii (taxid 338188),Porphyromonas crevioricanis (taxid 393921)
Neorhizobium sp. CSC1952 (taxid 2978974),Aurantimonas sp. HBX-1 (taxid 2906072),Mesorhizobium sp. Pch-S (taxid 2082387)
Paenibacillus sp. D2_2 (taxid 3073092),Paenibacillus sp. MBLB1832 (taxid 2918901),Bacillus velezensis (taxid 492670)
Rheinheimera sp. MMS21-TC3 (taxid 3072790),Rheinheimera sp. F8 (taxid 1763998),Rheinheimera sp. F8 (taxid 1763998)
Paracoccus stylophorae (taxid 659350),Paracoccus denitrificans (taxid 266),Mesorhizobium sp. Pch-S (taxid 2082387)
Methylocystis sp. SC2 (taxid 187303),Roseomonas fluvialis (taxid 1750527),Mesorhizobium sp. Pch-S (taxid 2082387)
Streptococcus agalactiae GD201008-001 (taxid 1203670),Streptococcus dysgalactiae subsp. dysgalactiae (taxid 99822),Tissierella sp. MB52-C2 (taxid 3070999)
Arsenophonus endosymbiont of Aleurodicus dispersus (taxid 235559),Pseudomonas sp. DR48 (taxid 2871095),Pseudomonas mosselii (taxid 78327)
Butyrivibrio fibrisolvens (taxid 831),Butyrivibrio fibrisolvens (taxid 831),Butyrivibrio crossotus (taxid 45851)
Streptococcus sp. CP1998 (taxid 3238303),Streptococcus agalactiae GD201008-001 (taxid 1203670),Bacillus velezensis (taxid 492670)
Rickettsia conorii subsp. raoultii (taxid 369822),Mesomycoplasma hyorhinis MCLD (taxid 936139),Collinsella aerofaciens (taxid 74426)
Enterobacteriaceae endosymbiont of Plateumaris sericea (taxid 2675797),Enterobacteriaceae endosymbiont of Plateumaris sericea (taxid 2675797),Rheinheimera sp. F8 (taxid 1763998)
Chania multitudinisentens RB-25 (taxid 1441930),Enterobacter asburiae (taxid 61645),Dickeya solani (taxid 1089444)
Fervidibacillus halotolerans (taxid 2980027),Planococcus donghaensis (taxid 414778),Bacillus sp. ZHX3 (taxid 2841656)
Tepidibacter hydrothermalis (taxid 3036126),Laceyella sacchari (taxid 37482),Aminipila luticellarii (taxid 2507160)
Rhodospirillum rubrum (taxid 1085),Eubacterium limosum (taxid 1736),Pseudomonas sp. C27(2019) (taxid 2604941)
Clostridioides difficile M68 (taxid 699037),Streptococcus dysgalactiae subsp. dysgalactiae (taxid 99822),Tissierella sp. MB52-C2 (taxid 3070999)
Leucobacter viscericola (taxid 2714935),Blastococcus sp. PRF04-17 (taxid 2933797),Ornithinimicrobium avium (taxid 2283195)
Lentisphaera profundi (taxid 1658616),Faecalibacterium taiwanense (taxid 3030638),Pseudomonas sp. C27(2019) (taxid 2604941)
Paraburkholderia acidisoli (taxid 2571748),Photobacterium damselae subsp. damselae (taxid 85581),Dickeya solani (taxid 1089444)
Lactobacillus sp. 3B(2020) (taxid 2695882),Lacticaseibacillus pantheris (taxid 171523),Weissella paramesenteroides (taxid 1249)
Levilactobacillus brevis (taxid 1580),Lacticaseibacillus pantheris (taxid 171523),Weissella paramesenteroides (taxid 1249)
Oenococcus kitaharae DSM 17330 (taxid 1045004),Oenococcus kitaharae DSM 17330 (taxid 1045004),Pseudomonas sp. C27(2019) (taxid 2604941)
Buchnera aphidicola (Periphyllus testudinaceus) (taxid 2994486),Luteimonas granuli (taxid 1176533),Luteimonas sp. JM171 (taxid 1896164)
Streptomyces sp. HUAS CX7 (taxid 3062782),Kocuria sp. TGY1127_2 (taxid 2711328),Ornithinimicrobium avium (taxid 2283195)
Actinotignum urinale (taxid 190146),Actinoallomurus sp. NBC_01490 (taxid 2903557),Nocardioides marmorisolisilvae (taxid 1542737)
Pontibacter sp. SGAir0037 (taxid 2571030),Pontibacter sp. SGAir0037 (taxid 2571030),Ethanoligenens harbinense (taxid 253239)
Chryseobacterium shandongense (taxid 1493872),Flavobacterium azooxidireducens (taxid 1871076),Myroides fluvii (taxid 2572594)
Aquabacterium sp. J223 (taxid 2898431),Sulfuritortus calidifontis (taxid 1914471),Comamonas odontotermitis (taxid 379895)
Yersinia pestis (taxid 632),Bacillus sp. ZHX3 (taxid 2841656),Bacillus velezensis (taxid 492670)
Vibrio porteresiae DSM 19223 (taxid 1123496),Vibrio porteresiae DSM 19223 (taxid 1123496),Dickeya solani (taxid 1089444)
Pectobacterium parmentieri (taxid 1905730),Allochromatium tepidum (taxid 553982),Dickeya solani (taxid 1089444)
Candidatus Annandia adelgestsuga (taxid 1302411),Salmonella enterica subsp. enterica serovar Kentucky (taxid 192955),Dickeya solani (taxid 1089444)
Candidatus Protofrankia datiscae (taxid 2716812),Jatrophihabitans telluris (taxid 2038343),Ornithinimicrobium avium (taxid 2283195)
Tepidibacter aestuarii (taxid 2925782),Laceyella sacchari (taxid 37482),Aminipila luticellarii (taxid 2507160)
Paenibacillus mucilaginosus (taxid 61624),Priestia megaterium WSH-002 (taxid 1006007),Bacillus sp. ZHX3 (taxid 2841656)
Clostridioides difficile M120 (taxid 699035),Laceyella sacchari (taxid 37482),Aminipila luticellarii (taxid 2507160)
Mycoplasma sp. (ex Biomphalaria glabrata) (taxid 1749074),Mycoplasma sp. (ex Biomphalaria glabrata) (taxid 1749074),Pseudomonas sp. C27(2019) (taxid 2604941)
Roseovarius tolerans (taxid 74031),Roseovarius tolerans (taxid 74031),Mesorhizobium sp. Pch-S (taxid 2082387)
Flavobacterium sp. N2820 (taxid 2986834),Selenomonas sp. TAMA-11512 (taxid 3095337),Ethanoligenens harbinense (taxid 253239)
Streptomyces acidiscabies (taxid 42234),Mesomycoplasma hyorhinis MCLD (taxid 936139),Collinsella aerofaciens (taxid 74426)
Paroceanicella profunda (taxid 2579971),Palleronia sp. LCG004 (taxid 3079304),Mesorhizobium sp. Pch-S (taxid 2082387)
Clostridium baratii str. Sullivan (taxid 1415775),Brochothrix thermosphacta (taxid 2756),Clostridium baratii (taxid 1561)
Yersinia enterocolitica (taxid 630),Streptomyces vinaceusdrappus (taxid 67376),Simplicispira suum (taxid 2109915)
Candidatus Erwinia haradaeae (taxid 1922217),Burkholderia ubonensis subsp. mesacidophila (taxid 265293),Dickeya solani (taxid 1089444)
Acetivibrio clariflavus DSM 19732 (taxid 720554),Paludicola sp. MB14-C6 (taxid 3070656),Clostridium baratii (taxid 1561)
Candidatus Tisiphia endosymbiont of Ditula angustiorana (taxid 3066272),Candidatus Tisiphia endosymbiont of Ditula angustiorana (taxid 3066272),Desulfuromonas soudanensis (taxid 1603606)
Blattabacterium cuenoti (taxid 1653831),Faecalibacterium taiwanense (taxid 3030638),Pseudomonas sp. C27(2019) (taxid 2604941)
Escherichia coli O2:H1 (taxid 2079157),Escherichia coli O2:H1 (taxid 2079157),Dickeya solani (taxid 1089444)
Friedmanniella luteola (taxid 546871),Marinilactibacillus sp. 15R (taxid 1911586),Bacillus velezensis (taxid 492670)
Thermoflexus hugenholtzii (taxid 1495650),Bacillus sp. FJAT-52991 (taxid 3129297),Bacillus sp. ZHX3 (taxid 2841656)
Citrobacter werkmanii (taxid 67827),Salmonella enterica subsp. enterica serovar Typhi (taxid 90370),Dickeya solani (taxid 1089444)
Stenotrophomonas sp. ESTM1D_MKCIP4_1 (taxid 2072414),Stenotrophomonas sp. NY11291 (taxid 2939415),Stenotrophomonas maltophilia (taxid 40324)
Streptomyces albidoflavus (taxid 1886),Agarivorans sp. TSD2052 (taxid 2937286),Sulfuritalea hydrogenivorans sk43H (taxid 1223802)
Lactobacillus delbrueckii subsp. bulgaricus (taxid 1585),Lacticaseibacillus pantheris (taxid 171523),Weissella paramesenteroides (taxid 1249)
Mergibacter septicus (taxid 221402),Alteromonas sp. RKMC-009 (taxid 2267264),Dickeya solani (taxid 1089444)
Changpingibacter yushuensis (taxid 2758440),Kocuria sp. TGY1127_2 (taxid 2711328),Ornithinimicrobium avium (taxid 2283195)
Vibrio navarrensis (taxid 29495),Candidatus Moranella endobia (taxid 1048758),Dickeya solani (taxid 1089444)
Basilea psittacipulmonis DSM 24701 (taxid 1072685),Neisseria gonorrhoeae (taxid 485),Dickeya solani (taxid 1089444)
Verminephrobacter eiseniae EF01-2 (taxid 391735),Sideroxydans sp. CL21 (taxid 2600596),Comamonas odontotermitis (taxid 379895)
Lysobacter maris (taxid 1605891),Lysobacter solisilvae (taxid 2763317),Luteimonas sp. JM171 (taxid 1896164)
Candidatus Schneideria nysicola (taxid 1081631),Neisseria meningitidis (taxid 487),Comamonas odontotermitis (taxid 379895)
Pantoea dispersa (taxid 59814),Klebsiella sp. PL-2018 (taxid 2851540),Dickeya solani (taxid 1089444)
Geobacillus sp. Y412MC52 (taxid 550542),Rossellomorea sp. KS-H15a (taxid 2963940),Bacillus sp. ZHX3 (taxid 2841656)
Staphylococcus argenteus (taxid 985002),Priestia megaterium WSH-002 (taxid 1006007),Bacillus sp. ZHX3 (taxid 2841656)
Pusillibacter faecalis (taxid 2714358),Paludicola sp. MB14-C6 (taxid 3070656),Clostridium baratii (taxid 1561)
Streptococcus marmotae (taxid 1825069),Streptococcus agalactiae GD201008-001 (taxid 1203670),Bacillus velezensis (taxid 492670)
Devosia ginsengisoli (taxid 400770),Devosia ginsengisoli (taxid 400770),Mesorhizobium sp. Pch-S (taxid 2082387)
Streptomyces vinaceusdrappus (taxid 67376),Pseudomonas beijingensis (taxid 2954101),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Lysobacter oculi (taxid 2698682),Lysobacter terrestris (taxid 2865112),Luteimonas sp. JM171 (taxid 1896164)
Emergencia timonensis (taxid 1776384),Filifactor alocis ATCC 35896 (taxid 546269),Aminipila luticellarii (taxid 2507160)
Xenorhabdus poinarii G6 (taxid 1354304),Salmonella enterica subsp. enterica serovar Kentucky (taxid 192955),Dickeya solani (taxid 1089444)
Aureliella helgolandensis (taxid 2527968),Anatilimnocola aggregata (taxid 2528021),Pseudomonas sp. FP1762 (taxid 2954080)
Pediococcus pentosaceus (taxid 1255),Pediococcus damnosus (taxid 51663),Weissella paramesenteroides (taxid 1249)
Nitrosomonas sp. H1_AOB3 (taxid 2741553),Sulfuricella denitrificans skB26 (taxid 1163617),Sulfuritalea hydrogenivorans sk43H (taxid 1223802)
Croceibacter atlanticus (taxid 313588),Croceibacter atlanticus (taxid 313588),Chryseobacterium shandongense (taxid 1493872)
Acinetobacter towneri (taxid 202956),Acinetobacter sp. Marseille-Q1620 (taxid 2714110),Acinetobacter baumannii (taxid 470)
Candidatus Rhabdochlamydia porcellionis (taxid 225148),Candidatus Neptunochlamydia sp. REUL1 (taxid 3064277),Clostridium baratii (taxid 1561)
Enterocloster clostridioformis (taxid 1531),Blautia argi (taxid 1912897),Butyrivibrio crossotus (taxid 45851)
Piscinibacter sp. XHJ-5 (taxid 3037797),Ramlibacter tataouinensis (taxid 94132),Comamonas odontotermitis (taxid 379895)
Salicibibacter kimchii (taxid 2099786),Marinilactibacillus sp. 15R (taxid 1911586),Bacillus velezensis (taxid 492670)
Burkholderia ambifaria (taxid 152480),Candidatus Symbiobacter mobilis CR (taxid 946483),Comamonas odontotermitis (taxid 379895)
Francisella philomiragia (taxid 28110),Bacteroides finegoldii (taxid 338188),Porphyromonas crevioricanis (taxid 393921)
Geobacter sp. SVR (taxid 2495594),Desulfuromonas soudanensis (taxid 1603606),Desulfuromonas soudanensis (taxid 1603606)
Candidatus Steffania adelgidicola (taxid 1076626),Alteromonas sp. RKMC-009 (taxid 2267264),Dickeya solani (taxid 1089444)
Mycolicibacterium doricum (taxid 126673),Caloramator sp. mosi_1 (taxid 3023090),Desulfuromonas soudanensis (taxid 1603606)
Brucella abortus (taxid 235),Brucella abortus (taxid 235),Mesorhizobium sp. Pch-S (taxid 2082387)
Conexibacter woesei DSM 14684 (taxid 469383),Priestia megaterium WSH-002 (taxid 1006007),Bacillus sp. ZHX3 (taxid 2841656)
Aequoribacter fuscus (taxid 2518989),Mycoplasma sp. (ex Biomphalaria glabrata) (taxid 1749074),Pseudomonas sp. C27(2019) (taxid 2604941)
Burkholderia cepacia (taxid 292),Cupriavidus metallidurans (taxid 119219),Escherichia coli (taxid 562)
Termitidicoccus mucosus (taxid 1184151),Lacunisphaera limnophila (taxid 1838286),Dickeya solani (taxid 1089444)
Paenibacillus larvae (taxid 1464),Bacillus thuringiensis HD-789 (taxid 1217737),Bacillus velezensis (taxid 492670)
Desemzia incerta (taxid 82801),Ammonifex degensii KC4 (taxid 429009),Pseudomonas sp. C27(2019) (taxid 2604941)
Mucilaginibacter daejeonensis (taxid 398049),Mucilaginibacter rubeus (taxid 2027860),Sediminicola sp. YIK13 (taxid 1453352)
Peptoniphilus harei (taxid 54005),Filifactor alocis ATCC 35896 (taxid 546269),Aminipila luticellarii (taxid 2507160)
Enterobacteriaceae endosymbiont of Plateumaris braccata (taxid 2675793),Pseudomonas sp. DR48 (taxid 2871095),Pseudomonas mosselii (taxid 78327)
Aquisalimonas sp. 2447 (taxid 2740807),Phenylobacterium sp. LH3H17 (taxid 2903901),Mesorhizobium sp. Pch-S (taxid 2082387)
Streptomyces sp. R35 (taxid 3238630),Jatrophihabitans telluris (taxid 2038343),Ornithinimicrobium avium (taxid 2283195)
Flagellatimonas centrodinii (taxid 2806210),Luteimonas granuli (taxid 1176533),Luteimonas sp. JM171 (taxid 1896164)
Anatilimnocola aggregata (taxid 2528021),Botrimarina mediterranea (taxid 2528022),Sulfuritalea hydrogenivorans sk43H (taxid 1223802)
Salmonella enterica subsp. enterica serovar Heidelberg str. 41578 (taxid 1124936),Vibrio tapetis subsp. tapetis (taxid 1671868),Dickeya solani (taxid 1089444)
Aquipluma nitroreducens (taxid 2010828),Aquipluma nitroreducens (taxid 2010828),Sediminicola sp. YIK13 (taxid 1453352)
Schaalia sp. JY-X169 (taxid 2758572),Streptococcus agalactiae GD201008-001 (taxid 1203670),Bacillus velezensis (taxid 492670)
Pajaroellobacter abortibovis (taxid 1882918),Anaeromyxobacter paludicola (taxid 2918171),Desulfuromonas soudanensis (taxid 1603606)
Congregibacter litoralis KT71 (taxid 314285),Rheinheimera sp. F8 (taxid 1763998),Rheinheimera sp. F8 (taxid 1763998)
Cohnella abietis (taxid 2507935),Rossellomorea sp. KS-H15a (taxid 2963940),Bacillus sp. ZHX3 (taxid 2841656)
Dolosigranulum pigrum (taxid 29394),Enterococcus faecium T110 (taxid 1344042),Bacillus sp. ZHX3 (taxid 2841656)
Latilactobacillus sakei (taxid 1599),Staphylococcus sp. IVB6181 (taxid 2929481),Weissella paramesenteroides (taxid 1249)
Stutzerimonas balearica (taxid 74829),Stutzerimonas balearica (taxid 74829),Pseudomonas sp. Q1-7 (taxid 3020843)
Pigmentiphaga aceris (taxid 1940612),Bordetella holmesii (taxid 35814),Bordetella sp. N (taxid 1746199)
Carboxydocella thermautotrophica (taxid 178899),Ammonifex degensii KC4 (taxid 429009),Pseudomonas sp. C27(2019) (taxid 2604941)
Pseudomonas monteilii (taxid 76759),Stutzerimonas balearica (taxid 74829),Pseudomonas sp. Q1-7 (taxid 3020843)
Leptospira sp. GIMC2001 (taxid 1513297),Roseburia sp. 831b (taxid 1261635),Butyrivibrio crossotus (taxid 45851)
Histophilus somni (taxid 731),Ferriphaselus amnicola (taxid 1188319),Sulfuritalea hydrogenivorans sk43H (taxid 1223802)
Halomonas sp. A40-4 (taxid 2785909),Pseudomonas eucalypticola (taxid 2599595),Pseudomonas mosselii (taxid 78327)
Marinithermus hydrothermalis DSM 14884 (taxid 869210),Eubacterium limosum (taxid 1736),Pseudomonas sp. C27(2019) (taxid 2604941)
Wolbachia endosymbiont of Drosophila aff. chauvacae BK-2020 (taxid 3080329),Roseovarius tolerans (taxid 74031),Mesorhizobium sp. Pch-S (taxid 2082387)
Comamonas odontotermitis (taxid 379895),Comamonas odontotermitis (taxid 379895),Comamonas odontotermitis (taxid 379895)
Comamonas testosteroni (taxid 285),Ramlibacter tataouinensis (taxid 94132),Comamonas odontotermitis (taxid 379895)
Dongshaea marina (taxid 2047966),Salmonella enterica subsp. enterica serovar Typhi (taxid 90370),Dickeya solani (taxid 1089444)
Pseudomonas marginalis (taxid 298),Yersinia enterocolitica (taxid 630),Butyrivibrio crossotus (taxid 45851)
Rubrobacter xylanophilus DSM 9941 (taxid 266117),Cryptobacterium curtum DSM 15641 (taxid 469378),Nocardioides sp. Arc9.136 (taxid 2996826)
Cupriavidus metallidurans (taxid 119219),Alteromonas sp. RKMC-009 (taxid 2267264),Dickeya solani (taxid 1089444)
Citricoccus sp. SGAir0253 (taxid 2567881),Kocuria sp. TGY1127_2 (taxid 2711328),Ornithinimicrobium avium (taxid 2283195)
Escherichia phage ev207 (taxid 2847062),Streptomyces vinaceusdrappus (taxid 67376),Simplicispira suum (taxid 2109915)
Tepidanaerobacter acetatoxydans Re1 (taxid 1209989),Oenococcus kitaharae DSM 17330 (taxid 1045004),Pseudomonas sp. C27(2019) (taxid 2604941)
Rubinisphaera brasiliensis DSM 5305 (taxid 756272),Symmachiella dynata (taxid 2527995),Luteimonas sp. JM171 (taxid 1896164)
Komagataeibacter nataicola (taxid 265960),Komagataeibacter nataicola (taxid 265960),Mesorhizobium sp. Pch-S (taxid 2082387)
Pseudoalteromonas ruthenica (taxid 151081),Sideroxyarcus emersonii (taxid 2764705),Dickeya solani (taxid 1089444)
Fructilactobacillus fructivorans (taxid 1614),Limosilactobacillus fermentum (taxid 1613),Weissella paramesenteroides (taxid 1249)
Candidatus Babela massiliensis (taxid 673862),Lysobacter solisilvae (taxid 2763317),Luteimonas sp. JM171 (taxid 1896164)
Candidatus Bodocaedibacter vickermanii (taxid 2741701),Tsuneonella sp. CC-YZS046 (taxid 3042152),Mesorhizobium sp. Pch-S (taxid 2082387)
Klebsiella quasipneumoniae subsp. quasipneumoniae (taxid 1667327),Vibrio vulnificus MO6-24/O (taxid 914127),Dickeya solani (taxid 1089444)
Faecalibacterium sp. IP-1-18 (taxid 2929488),Faecalibacterium taiwanense (taxid 3030638),Pseudomonas sp. C27(2019) (taxid 2604941)
Rivularia sp. PCC 7116 (taxid 373994),Tolypothrix sp. PCC 7601 (taxid 1188),Methylococcus sp. EFPC2 (taxid 2812648)
Candidatus Velamenicoccus archaeovorus (taxid 1930593),Arabiibacter massiliensis (taxid 1870985),Nocardioides marmorisolisilvae (taxid 1542737)
Citrobacter braakii (taxid 57706),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172),Dickeya solani (taxid 1089444)
Staphylococcus delphini (taxid 53344),Streptococcus dysgalactiae subsp. dysgalactiae (taxid 99822),Tissierella sp. MB52-C2 (taxid 3070999)
Escherichia coli 536 (taxid 362663),Tepidiforma bonchosmolovskayae (taxid 2601677),Ethanoligenens harbinense (taxid 253239)
Priestia aryabhattai (taxid 412384),Lentibacillus sp. CBA3610 (taxid 2518176),Bacillus velezensis (taxid 492670)
Bacillus velezensis NAU-B3 (taxid 1385727),Marinilactibacillus sp. 15R (taxid 1911586),Bacillus velezensis (taxid 492670)
Bacillus subtilis group (taxid 653685),Bacillus subtilis subsp. subtilis str. BAB-1 (taxid 1302650),Bacillus sp. ZHX3 (taxid 2841656)
Clostridium sp. MB40-C1 (taxid 3070996),Brochothrix thermosphacta (taxid 2756),Clostridium baratii (taxid 1561)
Paenibacillus sp. sptzw28 (taxid 715179),Candidatus Pantoea carbekii (taxid 1235990),Dickeya solani (taxid 1089444)
Sphaerotilus microaerophilus (taxid 2914710),Candidatus Symbiobacter mobilis CR (taxid 946483),Comamonas odontotermitis (taxid 379895)
Psychrobacter sanguinis (taxid 861445),Acinetobacter baylyi (taxid 202950),Acinetobacter baumannii (taxid 470)
Xanthomonas citri pv. aurantifolii (taxid 76802),Streptomyces vinaceusdrappus (taxid 67376),Simplicispira suum (taxid 2109915)
Coprothermobacter proteolyticus DSM 5265 (taxid 309798),Pseudothermotoga hypogea DSM 11164 = NBRC 106472 (taxid 1123384),Desulfuromonas soudanensis (taxid 1603606)
Celerinatantimonas diazotrophica (taxid 412034),Pseudomonas agarici (taxid 46677),Pseudomonas mosselii (taxid 78327)
Maliibacterium massiliense (taxid 2086585),Streptococcus dysgalactiae subsp. dysgalactiae (taxid 99822),Tissierella sp. MB52-C2 (taxid 3070999)
Periweissella cryptocerci (taxid 2506420),Weissella cibaria (taxid 137591),Weissella paramesenteroides (taxid 1249)
Niveibacterium sp. SC-1 (taxid 3135646),Emticicia oligotrophica DSM 17448 (taxid 929562),Streptococcus thermophilus (taxid 1308)
Streptococcus iniae (taxid 1346),Streptococcus agalactiae GD201008-001 (taxid 1203670),Bacillus velezensis (taxid 492670)
Bifidobacterium longum subsp. suillum (taxid 1931217),Bifidobacterium longum subsp. suillum (taxid 1931217),Ornithinimicrobium avium (taxid 2283195)
Aestuariispira ectoiniformans (taxid 2775080),Komagataeibacter nataicola (taxid 265960),Mesorhizobium sp. Pch-S (taxid 2082387)
Lysobacter lycopersici (taxid 1324796),Lysobacter lycopersici (taxid 1324796),Luteimonas sp. JM171 (taxid 1896164)
Isoalcanivorax pacificus W11-5 (taxid 391936),Pseudomonas eucalypticola (taxid 2599595),Pseudomonas mosselii (taxid 78327)
Syntrophobacter fumaroxidans MPOB (taxid 335543),Anaeromyxobacter paludicola (taxid 2918171),Desulfuromonas soudanensis (taxid 1603606)
Pontimonas salivibrio (taxid 1159327),Cellulosimicrobium sp. ES-005 (taxid 3163031),Ornithinimicrobium avium (taxid 2283195)
Hoylesella enoeca (taxid 76123),Segatella oris (taxid 28135),Porphyromonas crevioricanis (taxid 393921)
Aeromonas sp. 19NY04SH05-1 (taxid 2920537),Mycetohabitans endofungorum (taxid 417203),Dickeya solani (taxid 1089444)
Brucepastera parasyntrophica (taxid 2880008),Treponema brennaborense DSM 12168 (taxid 906968),Pseudomonas sp. C27(2019) (taxid 2604941)
Streptomyces uncialis (taxid 1048205),Jatrophihabitans telluris (taxid 2038343),Ornithinimicrobium avium (taxid 2283195)
Bartonella sp. DGB1 (taxid 3239807),Salmonella enterica subsp. enterica serovar Newport (taxid 108619),Mesorhizobium sp. Pch-S (taxid 2082387)
Paraburkholderia pallida (taxid 2547399),Burkholderia pyrrocinia (taxid 60550),Enterococcus faecalis (taxid 1351)
Anoxybacillus flavithermus (taxid 33934),Laceyella sacchari (taxid 37482),Aminipila luticellarii (taxid 2507160)
Blastococcus sp. PRF04-17 (taxid 2933797),Blastococcus sp. PRF04-17 (taxid 2933797),Ornithinimicrobium avium (taxid 2283195)
Mycetohabitans endofungorum (taxid 417203),Vibrio tapetis subsp. tapetis (taxid 1671868),Dickeya solani (taxid 1089444)
Pseudomonas azotoformans (taxid 47878),Vibrio tapetis subsp. tapetis (taxid 1671868),Dickeya solani (taxid 1089444)
Staphylococcus aureus RF122 (taxid 273036),Staphylococcus sp. IVB6181 (taxid 2929481),Weissella paramesenteroides (taxid 1249)
Candidatus Phytoplasma mali (taxid 37692),Alkalibacter rhizosphaerae (taxid 2815577),Clostridium baratii (taxid 1561)
Buttiauxella sp. WJP83 (taxid 2986951),Salmonella enterica subsp. enterica serovar Typhi (taxid 90370),Dickeya solani (taxid 1089444)
Escherichia coli O157:H7 str. EDL933 (taxid 155864),Salmonella enterica subsp. enterica serovar Typhi (taxid 90370),Dickeya solani (taxid 1089444)
Ruminococcus sp. FMBCY1 (taxid 2831966),Paludicola sp. MB14-C6 (taxid 3070656),Clostridium baratii (taxid 1561)
Bacillus sp. Y1 (taxid 352858),Bacillus subtilis subsp. subtilis str. BAB-1 (taxid 1302650),Bacillus sp. ZHX3 (taxid 2841656)
Candidatus Karelsulcia muelleri (taxid 336810),Sphaerospermopsis torques-reginae ITEP-024 (taxid 984208),Pseudomonas mosselii (taxid 78327)
Pseudomonas aeruginosa PA7 (taxid 381754),Pseudomonas sp. FP453 (taxid 2954094),Pseudomonas mosselii (taxid 78327)
Metabacillus sp. B2-18 (taxid 2897333),Bacillus sp. RZ2MS9 (taxid 1806216),Ethanoligenens harbinense (taxid 253239)
Sphingomonas lacunae (taxid 2698828),Sphingomonas sediminicola (taxid 386874),Sphingopyxis sp. YF1 (taxid 2482763)
Sterolibacterium denitrificans (taxid 157592),Sideroxydans sp. CL21 (taxid 2600596),Comamonas odontotermitis (taxid 379895)
Trichodesmium erythraeum IMS101 (taxid 203124),Emticicia oligotrophica DSM 17448 (taxid 929562),Streptococcus thermophilus (taxid 1308)
Dissulfurispira thermophila (taxid 2715679),Alkalibacter rhizosphaerae (taxid 2815577),Clostridium baratii (taxid 1561)
Allochromatium tepidum (taxid 553982),Pasteurella multocida (taxid 747),Dickeya solani (taxid 1089444)
